Year,SiteN,PlotN,NumFires11to14,ShrubCov,ACERUB,ALEFAR,ALNSER,AMEOBO,ANDGER,ANDGLO,ANDGYR,ANDSP,ARISTR,AROARB,ARUTEC,ASCRUB,BAPTIN,CARBEL,CARSP,CARTOM,CENVIR,CHALAX,CHATHY,CHATOM,CHRMAR,CIRREP,CLEALN,CLIMAR,COMERE,CORMAJ,CORVER,CTEARO,CUTGRA,CYRRAC,DICACU,DICLUC,DICSP,DIOTER,DIOVIL,DIOVIR,DOESER,ELENUD,EUBRAC,EUPALB,EUPCOM,EUPCUR,EUPIPE,EUPLEU,EUPPIL,EUPPUB,EUPROT,FOTGAR,GALREG,GAYDUM,GAYFRO,HEXMIN,HYPHYP,ILECOR,ILEGLA,ILEOPA,IPOPAN,IRIVER,KALCUN,LACGRA,LESCAP,LESHIR,LIACOK,LIQSTY,LIRTUL,LYOLIG,LYOLUC,LYOMAR,LYSQUA,MAGVIR,MORCAR,MORCER,NYSSYL,ORBPED,OSMCIN,OSMREG,OXYARB,PARQUI,PERPAL,PINPAL,PINSER,PITASP,POLBIF,POLLUT,PTEAQU,QUEINC,QUELAE,QUEMARG,QUEMARI,QUENIG,RHEALI,RHEMAR,RHEPET,RHOATL,RHUCOP,ROBNAN,RUBSP,SASALB,SCHSCO,SCLTRI,SERAST,SERLIN,SERTOR,SMIGLA,SMILAU,SMIPSE,SMIROT,SOLODO,SORELL,SORNUT,STYBIF,SYMTIN,SYMWAL,TEPVIR,TOXPUB,TOXRAD,TOXVER,TRAURE,UVUPUB,VACCRA,VACFOR,VACFUS,VACSTA,VACTEN,VERACA,VERANG,VIBNUD,VIOPED,VITROT,WOOARE,WOOVIR,XYRSP,ZIGGLA
2014,6,3,0,98,13.5,0,0,0,0,0,0,4,4,0,26,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0.5,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,48,0,0,0,0,0,0,0,0,0
2014,7,1,4,73,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0.1,0,0,0,0,12,0,0,0.5,0,0,1,0,4.5,0,0,0,0,0,0,0,11,0,0,2.5,0,0,0,0,1,0,0,0,0,42,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,7,0,0,0,0,0,0,6,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0
2014,7,2,4,183,0,0,0,0,0,0,0,0.5,3,0,0,0,0,0,0,0,0,0,0,0.5,0,0,30,0,0,0,0,0,0,0,0,0,2.1,5,0,13,0,0,0,0,0,0,0,0,0,0,21,0,0,6,68,0,2,0,45,0,0,0,0,0,0,0,1,0,0,3,0,29,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0
2014,7,3,4,94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,36,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,6,0,0,0,0,0,0.1,0,0,0,0,0,26,0,0,0,20,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2014,8,1,2,52,0,0,0,0,0,0,0,0,30,6,63,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
2014,8,2,2,214,0,0,0,0,0,15,0,0,18,0,165,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,13,0,0,0,0,0,0,0,0,0
2014,8,3,2,74,0,0,0,0,0,17,0,0,2,4,90,0,0,0,0,0,0,5,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,25,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2014,9,2,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,9,3,1,196,0,0,0,0,0,0,0,4,4.1,0,16,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,48,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,39,0,0,0,0,0,0,0,1,0
2014,10,1,1,213,0.1,0,0,0,0,0,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,17,0,6,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,1,49,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,40,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,4,30,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0
